hand_landmark,lmx,lmy,gesture
HandLandmark.WRIST,308,494,five
HandLandmark.THUMB_CMC,277,478,five
HandLandmark.THUMB_MCP,259,432,five
HandLandmark.THUMB_IP,250,388,five
HandLandmark.THUMB_TIP,241,350,five
HandLandmark.INDEX_FINGER_MCP,288,366,five
HandLandmark.INDEX_FINGER_PIP,282,307,five
HandLandmark.INDEX_FINGER_DIP,280,266,five
HandLandmark.INDEX_FINGER_TIP,280,233,five
HandLandmark.MIDDLE_FINGER_MCP,311,363,five
HandLandmark.MIDDLE_FINGER_PIP,313,297,five
HandLandmark.MIDDLE_FINGER_DIP,315,253,five
HandLandmark.MIDDLE_FINGER_TIP,317,217,five
HandLandmark.RING_FINGER_MCP,330,372,five
HandLandmark.RING_FINGER_PIP,337,312,five
HandLandmark.RING_FINGER_DIP,339,270,five
HandLandmark.RING_FINGER_TIP,342,234,five
HandLandmark.PINKY_MCP,347,392,five
HandLandmark.PINKY_PIP,356,347,five
HandLandmark.PINKY_DIP,361,316,five
HandLandmark.PINKY_TIP,365,287,five
HandLandmark.WRIST,301,499,five
HandLandmark.THUMB_CMC,268,472,five
HandLandmark.THUMB_MCP,247,418,five
HandLandmark.THUMB_IP,235,370,five
HandLandmark.THUMB_TIP,222,335,five
HandLandmark.INDEX_FINGER_MCP,280,349,five
HandLandmark.INDEX_FINGER_PIP,274,287,five
HandLandmark.INDEX_FINGER_DIP,271,247,five
HandLandmark.INDEX_FINGER_TIP,271,215,five
HandLandmark.MIDDLE_FINGER_MCP,302,345,five
HandLandmark.MIDDLE_FINGER_PIP,304,275,five
HandLandmark.MIDDLE_FINGER_DIP,305,228,five
HandLandmark.MIDDLE_FINGER_TIP,307,191,five
HandLandmark.RING_FINGER_MCP,321,356,five
HandLandmark.RING_FINGER_PIP,328,291,five
HandLandmark.RING_FINGER_DIP,332,248,five
HandLandmark.RING_FINGER_TIP,335,212,five
HandLandmark.PINKY_MCP,339,378,five
HandLandmark.PINKY_PIP,349,330,five
HandLandmark.PINKY_DIP,355,297,five
HandLandmark.PINKY_TIP,358,266,five
HandLandmark.WRIST,301,513,five
HandLandmark.THUMB_CMC,269,478,five
HandLandmark.THUMB_MCP,248,419,five
HandLandmark.THUMB_IP,236,368,five
HandLandmark.THUMB_TIP,223,333,five
HandLandmark.INDEX_FINGER_MCP,281,350,five
HandLandmark.INDEX_FINGER_PIP,274,286,five
HandLandmark.INDEX_FINGER_DIP,271,248,five
HandLandmark.INDEX_FINGER_TIP,269,215,five
HandLandmark.MIDDLE_FINGER_MCP,302,345,five
HandLandmark.MIDDLE_FINGER_PIP,304,273,five
HandLandmark.MIDDLE_FINGER_DIP,305,227,five
HandLandmark.MIDDLE_FINGER_TIP,307,190,five
HandLandmark.RING_FINGER_MCP,322,356,five
HandLandmark.RING_FINGER_PIP,329,291,five
HandLandmark.RING_FINGER_DIP,333,248,five
HandLandmark.RING_FINGER_TIP,336,212,five
HandLandmark.PINKY_MCP,339,377,five
HandLandmark.PINKY_PIP,349,330,five
HandLandmark.PINKY_DIP,354,297,five
HandLandmark.PINKY_TIP,357,267,five
HandLandmark.WRIST,300,524,five
HandLandmark.THUMB_CMC,268,488,five
HandLandmark.THUMB_MCP,246,427,five
HandLandmark.THUMB_IP,233,374,five
HandLandmark.THUMB_TIP,219,336,five
HandLandmark.INDEX_FINGER_MCP,279,353,five
HandLandmark.INDEX_FINGER_PIP,273,286,five
HandLandmark.INDEX_FINGER_DIP,269,247,five
HandLandmark.INDEX_FINGER_TIP,269,212,five
HandLandmark.MIDDLE_FINGER_MCP,302,349,five
HandLandmark.MIDDLE_FINGER_PIP,303,275,five
HandLandmark.MIDDLE_FINGER_DIP,304,227,five
HandLandmark.MIDDLE_FINGER_TIP,305,188,five
HandLandmark.RING_FINGER_MCP,322,361,five
HandLandmark.RING_FINGER_PIP,330,293,five
HandLandmark.RING_FINGER_DIP,335,250,five
HandLandmark.RING_FINGER_TIP,338,213,five
HandLandmark.PINKY_MCP,341,384,five
HandLandmark.PINKY_PIP,352,336,five
HandLandmark.PINKY_DIP,358,303,five
HandLandmark.PINKY_TIP,363,272,five
HandLandmark.WRIST,303,550,five
HandLandmark.THUMB_CMC,270,514,five
HandLandmark.THUMB_MCP,247,450,five
HandLandmark.THUMB_IP,233,397,five
HandLandmark.THUMB_TIP,216,358,five
HandLandmark.INDEX_FINGER_MCP,282,372,five
HandLandmark.INDEX_FINGER_PIP,275,302,five
HandLandmark.INDEX_FINGER_DIP,272,260,five
HandLandmark.INDEX_FINGER_TIP,271,224,five
HandLandmark.MIDDLE_FINGER_MCP,305,368,five
HandLandmark.MIDDLE_FINGER_PIP,307,289,five
HandLandmark.MIDDLE_FINGER_DIP,309,239,five
HandLandmark.MIDDLE_FINGER_TIP,312,200,five
HandLandmark.RING_FINGER_MCP,325,380,five
HandLandmark.RING_FINGER_PIP,335,311,five
HandLandmark.RING_FINGER_DIP,342,266,five
HandLandmark.RING_FINGER_TIP,346,227,five
HandLandmark.PINKY_MCP,343,404,five
HandLandmark.PINKY_PIP,354,352,five
HandLandmark.PINKY_DIP,361,317,five
HandLandmark.PINKY_TIP,365,285,five
HandLandmark.WRIST,304,555,five
HandLandmark.THUMB_CMC,270,516,five
HandLandmark.THUMB_MCP,246,451,five
HandLandmark.THUMB_IP,233,396,five
HandLandmark.THUMB_TIP,216,358,five
HandLandmark.INDEX_FINGER_MCP,281,374,five
HandLandmark.INDEX_FINGER_PIP,275,302,five
HandLandmark.INDEX_FINGER_DIP,273,260,five
HandLandmark.INDEX_FINGER_TIP,272,222,five
HandLandmark.MIDDLE_FINGER_MCP,305,369,five
HandLandmark.MIDDLE_FINGER_PIP,308,290,five
HandLandmark.MIDDLE_FINGER_DIP,311,240,five
HandLandmark.MIDDLE_FINGER_TIP,314,200,five
HandLandmark.RING_FINGER_MCP,326,382,five
HandLandmark.RING_FINGER_PIP,335,311,five
HandLandmark.RING_FINGER_DIP,341,266,five
HandLandmark.RING_FINGER_TIP,345,226,five
HandLandmark.PINKY_MCP,344,406,five
HandLandmark.PINKY_PIP,355,354,five
HandLandmark.PINKY_DIP,361,319,five
HandLandmark.PINKY_TIP,366,287,five
HandLandmark.WRIST,298,548,five
